NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
AK ELIM APRT       ,PFEL,   ,     ,64.37N,162.16W,49,US
AK ELMENDORF AFB   ,PAED,EDF,70272,61.15N,149.48W,59,US
AK EMMONAK         ,PAEM,ENM,     ,62.46N,164.31W,3,US
AK EUREKA          ,PAZK,AZK,     ,61.56N,147.10W,1003,US
AK FAIRBANKS       ,PAFA,FAI,70261,64.48N,147.53W,132,US
AK FAIRBANKS/WFO   ,PAFG,AFG,     ,64.48N,147.53W,140,US
AK FALSE PASS      ,PAKF,   ,     ,54.51N,163.25W,6,US
AK FRBNKS/PEDRO DOM,PAPD,APD,     ,65.02N,147.30W,790,US
AK FAREWELL LAKE   ,PAFK,FKK,70248,62.32N,153.36W,321,US
AK FORT RICHARDSON ,PAFR,FRN,70270,61.16N,149.39W,115,US
AK FORT WAINWRIGHT ,PAFB,FBK,     ,64.50N,147.37W,137,US
AK FORT YUKON      ,PAFY,   ,70194,66.34N,145.16W,131,US
AK FORT YUKON      ,PFYU,FYU,     ,66.34N,145.16W,131,US
AK FUNTER BAY      ,PAFN,FNR,     ,58.15N,134.54W,9,US
AK GALBRAITH LAKE  ,PAGB,GBH,     ,68.29N,149.29W,811,US
AK GALENA          ,PAGA,GAL,70222,64.44N,156.56W,46,US
AK GAMBELL         ,PAGM,GAM,70204,63.46N,171.44W,8,US
AK GLENNALLEN PROF ,    ,GNA,70268,62.07N,145.58W,564,US
AK GOLOVIN         ,PAGL,N93,     ,64.33N,163.02W,8,US
AK GULKANA         ,PAGK,GKN,70271,62.09N,145.27W,481,US
AK GUSTAVUS        ,PAGS,GST,70367,58.25N,135.44W,9,US
AK HAINES          ,PAHN,HNS,     ,59.15N,135.31W,5,US
AK HAYES RIVER     ,PAHZ,HZZ,     ,61.59N,152.05W,305,US
AK HEALY           ,PAHV,HRR,     ,63.50N,149.00W,396,US
AK HOLY CROSS      ,PAHC,HCA,     ,62.11N,159.47W,21,US
AK HOMER           ,PAHO,HOM,70341,59.38N,151.30W,28,US
AK HOONAH          ,PAOH,HNH,     ,58.06N,135.27W,9,US
AK HOOPER BAY      ,PAHP,HPB,     ,61.32N,166.09W,5,US
AK HUSLIA          ,PAHS,HSL,     ,65.42N,156.23W,55,US
AK HUSLIA          ,PAHL,   ,     ,65.42N,156.21W,65,US
AK HYDABURG        ,PAHY,HYG,     ,55.12N,132.50W,1,US
AK IGIUGIG         ,PAIG,   ,     ,59.19N,155.54W,28,US
AK ILIAMNA         ,PAIL,ILI,70340,59.45N,154.55W,49,US
AK INDIAN MOUNTAIN ,PAIM,UTO,70173,66.00N,153.42W,389,US
AK JUNEAU          ,PAJN,JNU,70381,58.22N,134.35W,5,US
AK JUNEAU/WFO      ,PAJK,AJK,     ,58.22N,134.34W,7,US
AK KAKE            ,PAFE,AFE,     ,56.58N,133.55W,9,US
AK KALSKAG         ,PALG,KLG,     ,61.32N,160.20W,17,US
AK KALTAG          ,PAKV,KAL,     ,64.20N,158.45W,61,US
AK KENAI           ,PAEN,ENA,70259,60.34N,151.15W,27,US
AK KETCHIKAN       ,PAKT,KTN,70395,55.21N,131.42W,28,US
AK KIANA           ,PAIK,   ,     ,66.59N,160.26W,51,US
AK KING COVE       ,PAVC,   ,     ,55.07N,162.16W,47,US
AK KING SALMON     ,PAKN,AKN,70326,58.41N,156.39W,17,US
AK KING SALMON/88D ,PAKC,AKC,     ,58.41N,156.38W,19,US
AK KING SALMON AFS ,KQRC,QRC,     ,58.41N,156.38W,15,US
AK KIPNUK          ,PAKI,IIK,     ,59.56N,164.02W,4,US
AK KIVALINA        ,PAVL,KVL,     ,67.44N,164.33W,3,US
AK KLAWOCK         ,PAKW,AKW,     ,55.35N,133.04W,15,US
AK KODIAK          ,PADQ,ADQ,70350,57.45N,152.30W,34,US
AK KODIAK          ,PAKD,KDK,     ,57.48N,152.22W,42,US
AK KOLIGANEK       ,PAJZ,JZZ,     ,59.44N,157.16W,82,US
AK KOTZEBUE        ,PAOT,OTZ,70133,66.52N,162.35W,3,US
AK KOYUK           ,PAKK,KKA,     ,64.56N,161.09W,47,US
AK KUPARUK         ,PAKU,UBW,     ,70.19N,149.35W,2,US
AK KWETHLUK        ,PFKW,   ,     ,60.48N,161.26W,8,US
AK MANLEY HOT SPRIN,PAML,MLY,     ,65.00N,150.39W,81,US
AK MANOKOTAK       ,PAMB,MBA,     ,58.59N,159.03W,16,US
AK MARSHALL        ,PADM,   ,     ,61.52N,162.02W,31,US
AK MCCARTHY        ,PAMX,15Z,     ,61.26N,142.55W,455,US
AK MCGRATH         ,PAMC,MCG,70231,62.58N,155.37W,103,US
AK MCKINLEY PARK   ,PAIN,INR,     ,63.44N,148.55W,524,US
AK MEKORYUK        ,PAMY,MYU,     ,60.22N,166.16W,13,US
AK METLAKATLA      ,PAMM,MTM,     ,55.08N,131.35W,1,US
AK MIDDLETON ISLAND,PAMD,MDO,70343,59.26N,146.18W,14,US
AK MIDDLETON IS 88D,PAIH,AIH,     ,59.28N,146.18W,20,US
AK MINCHUMINA      ,PAMH,MHM,70246,63.54N,152.19W,214,US
AK MOUNTAIN VILLAGE,PAMO,MOU,     ,62.06N,163.41W,103,US
AK NABESNA         ,PABN,IBN,     ,62.24N,143.00W,880,US
AK NELSON LAGOON   ,PAOU,   ,     ,56.00N,161.10W,4,US
AK NENANA          ,PANN,ENN,70260,64.33N,149.05W,110,US
AK NEW STUYAHOK    ,PANW,KNW,     ,59.27N,157.22W,92,US
AK NIKOLAI         ,PAFS,FSP,     ,63.01N,154.21W,126,US
AK NOME            ,PAOM,OME,70200,64.30N,165.26W,11,US
AK NOME/88D/PAEC   ,    ,   ,     ,64.31N,165.18W,16,US
AK CHULITNA        ,PAEC,AEC,     ,62.53N,149.50W,381,US
AK NAPAKIAK        ,PANA,   ,     ,60.41N,161.59W,5,US
AK NORTHWAY        ,PAOR,ORT,70291,62.58N,141.56W,523,US
AK NOATAK          ,PAWN,WTK,     ,67.34N,162.59W,30,US
AK NOORVIK         ,PFNO,D76,     ,66.49N,161.01W,17,US
AK NUIQSUT         ,PAQT,AQT,     ,70.13N,151.00W,12,US
AK NUIQSUT VILLAGE ,PALP,   ,     ,70.20N,150.56W,5,US
AK NUNAPITCHUK     ,PPIT,16A,     ,60.54N,162.26W,7,US
AK OLIKTOK POINT   ,POLI,OLI,70063,70.30N,149.53W,5,US
AK PALMER          ,PAAQ,PAQ,70274,61.36N,149.05W,73,US
AK PAXSON          ,PAXK,PXK,     ,63.02N,145.30W,809,US
AK PETERSBURG      ,PAPG,PSG,70386,56.49N,132.58W,15,US
AK PILOT POINT     ,PAPN,PNP,     ,57.35N,157.34W,18,US
AK PLATINUM        ,PAPM,PTU,     ,59.01N,161.49W,5,US
AK POINT HOPE      ,PAPO,PHO,     ,68.21N,166.48W,6,US
AK POINT LAY       ,PPIZ,PIZ,70121,69.44N,163.00W,8,US
AK PORT ALEXANDER  ,PAAP,AHP,     ,56.14N,134.39W,6,US
AK PORT ALSWORTH   ,PALJ,TPO,     ,60.12N,154.18W,81,US
AK PORT CLARENCE   ,PAPC,KPC,70119,65.15N,166.51W,3,US
AK PORT HEIDEN     ,PAPH,PTH,70333,56.57N,158.37W,29,US
AK PORTAGE GLACIER ,PATO,POR,     ,60.47N,148.51W,31,US
AK PROSPECT CREEK  ,PAPR,PPC,     ,66.49N,150.39W,335,US
AK PRUDHOE BAY     ,PAUD,PUO,     ,70.15N,148.20W,12,US
AK PUNTILLA LAKE   ,PAPT,PTI,70249,62.06N,152.43W,558,US
AK QUINHAGAK       ,PAQH,   ,     ,59.45N,161.51W,13,US
AK REG DOG         ,PARD,   ,     ,68.02N,162.54W,297,US
AK REG DOG         ,PADG,DGG,     ,68.02N,162.54W,297,US
AK RUBY            ,PARY,RBY,     ,64.44N,155.28W,199,US
AK RUSSIAN MISSION ,PARS,RSH,     ,61.46N,161.19W,16,US
AK SAINT MARYS     ,PASM,KSM,     ,62.04N,163.18W,92,US
AK SAND POINT      ,PASD,SDP,     ,55.20N,160.30W,7,US
AK SAVOONGA        ,PASA,SVA,     ,63.41N,170.30W,16,US
AK SCAMMON BAY     ,PACM,SCM,     ,61.51N,165.34W,4,US
AK SELAWIK         ,PASK,WLK,     ,66.36N,160.00W,8,US
AK SELDOVIA        ,PASO,SOV,     ,59.27N,151.42W,9,US
AK SEWARD          ,PAWD,SWD,70277,60.07N,149.25W,23,US
AK SHAGELUK        ,PAHX,   ,     ,62.42N,159.34W,24,US
AK SHAKTOOLIK      ,PFSH,2C7,     ,64.22N,161.13W,7,US
AK SHISHMAREF      ,PASH,SHH,     ,66.16N,166.05W,2,US
AK SHUNGNAK        ,PAGH,SHG,     ,66.53N,157.10W,60,US
AK SITKA           ,PASI,SIT,70371,57.04N,135.21W,5,US
AK SITKA/BIORKA/88D,PACG,ACG,     ,56.51N,135.32W,63,US
AK SKAGWAY         ,PAGY,SGY,70362,59.28N,135.18W,5,US
AK SKWENTNA        ,PASW,SKW,70255,61.58N,151.12W,48,US
AK SLANA           ,PADT,DDT,     ,62.43N,143.51W,730,US
AK SLEETMUTE       ,PASL,SLQ,     ,61.43N,157.09W,55,US
AK SNOWSHOE LAKE   ,PALK,LLK,     ,62.02N,142.40W,735,US
AK SOLDOTNA        ,PASX,SXQ,     ,60.29N,151.02W,32,US
AK SOUTH NAKNEK    ,PFWS,   ,     ,58.42N,157.00W,49,US
AK SPARREVOHN      ,PASV,SVW,70235,61.06N,155.34W,484,US
AK ST GEORGE       ,PAPB,PBV,     ,56.35N,169.40W,35,US
AK ST MICHAEL      ,PAMK,   ,     ,63.29N,162.07W,28,US
AK ST PAUL ISLAND  ,PASN,SNP,70308,57.09N,170.13W,29,US
AK STONY RIVER LAND,PAER,ERW,     ,61.16N,153.48W,345,US
AK SUTTON          ,PAJV,JVM,     ,61.43N,148.53W,263,US
AK TAHNETNA PASS LO,PASP,SMU,     ,61.49N,147.33W,799,US
AK TALKEETNA       ,PATK,TKA,70251,62.18N,150.06W,109,US
AK TALKEETNA PROF  ,    ,TLK,70252,62.19N,150.25W,137,US
AK TANANA          ,PATA,TAL,70178,65.10N,152.06W,67,US
AK TATALINA AFS    ,PATL,TLJ,     ,62.54N,155.58W,294,US
AK TELLER          ,PATE,   ,     ,65.14N,166.20W,90,US
AK POINT THOMPSON  ,PAAD,   ,     ,70.08N,146.17W,8,US
AK TIN CITY AFS    ,PATC,TNC,70117,65.34N,167.55W,83,US
AK TOGIAK          ,PATG,TOG,     ,59.03N,160.23W,4,US
AK TOKSOOK BAY     ,PAOO,   ,     ,60.32N,165.07W,18,US
AK UMIAT           ,PAUM,UMT,70162,69.22N,152.08W,104,US
AK UNALAKLEET      ,PAUN,UNK,70207,63.53N,160.48W,6,US
AK DUTCH HARBOR    ,PADU,DUT,70489,53.54N,166.32W,4,US
AK VALDEZ          ,PAVD,VDZ,     ,61.08N,146.15W,37,US
AK VALDEZ WSO      ,PAVW,VWS,70275,61.08N,146.21W,11,US
AK WAINWRIGHT      ,PAWI,AWI,70030,70.37N,159.51W,27,US
AK WALES           ,PAIW,   ,     ,65.37N,168.06W,7,US
AK WASILLA         ,PAWS,IYS,     ,61.34N,149.32W,107,US
AK WHITE MOUNTAIN  ,PAWM,WMO,     ,64.41N,163.25W,82,US
AK WHITTIER        ,PAWR,IEM,     ,60.47N,148.43W,47,US
AK WILLOW          ,PAUO,UUO,     ,61.45N,150.03W,69,US
AK WOLVERINE ROAD  ,PAIZ,IZY,     ,61.38N,149.02W,236,US
AK WRANGELL        ,PAWG,WRG,70387,56.29N,132.22W,11,US
AK YAKUTAT         ,PAYA,YAK,70361,59.31N,139.40W,11,US
AK ALASKAN ARTCC   ,PZ74,Z74,     ,60.09N,164.17W,1,US
AK ALASKAN ARTCC   ,PZ76,Z76,     ,65.15N,134.39W,647,US
AL ALABASTER       ,KEET,EET,     ,33.11N,086.47W,173,US
AL ALBERTVILLE MUNI,K8A0,8A0,     ,34.14N,086.15W,315,US
AL ALEXANDER/RUSSEL,KALX,ALX,     ,32.55N,085.58W,209,US
AL ANDALUSIA/OPP AR,K79J,79J,     ,31.19N,086.24W,94,US
AL ANNISTON        ,KANB,ANB,     ,33.35N,085.51W,183,US
AL AUBURN UNIV. (AM,KAUB,AUB,     ,32.36N,085.30W,198,US
AL AUBURN OPELIKA A,KAUO,AUO,     ,32.37N,085.25W,236,US
AL BESSEMER        ,KEKY,EKY,     ,33.19N,086.56W,214,US
AL BIRMINGHAM      ,KBHM,BHM,72228,33.34N,086.45W,197,US
AL BRMNGHM/ALABASTR,KBMX,BMX,72230,33.10N,086.46W,197,US
AL OZARK/CAIRNS AAF,KOZR,OZR,     ,31.17N,085.43W,93,US
AL CENTREVILLE WSM ,K0A8,0A8,72229,32.56N,087.05W,77,US
AL COURTLAND       ,K9A4,9A4,     ,34.40N,087.21W,179,US
AL CULLMAN/FOLSOM F,K3A1,3A1,     ,34.16N,086.51W,294,US
AL CULLMAN/FOLSOM F,KCMD,CMD,     ,34.16N,086.51W,294,US
AL DECATUR         ,KDCU,DCU,     ,34.39N,086.57W,176,US
AL DEMOPOLIS       ,KDYA,DYA,     ,32.28N,087.57W,34,US
AL DOTHAN          ,KDHN,DHN,     ,31.19N,085.27W,113,US
AL ENTERPRISE      ,KEDN,EDN,     ,31.18N,085.54W,110,US
AL EUFAULA         ,KEUF,EUF,     ,31.57N,085.08W,87,US
AL EVERGREEN       ,KGZH,GZH,     ,31.25N,087.03W,78,US
AL FAIRHOPE        ,KCQF,CQF,     ,30.28N,087.53W,28,US
AL FLORALA MUNI    ,K0J4,0J4,     ,31.03N,086.19W,96,US
AL FT PAYNE/ISBELL ,K4A9,4A9,     ,34.28N,085.43W,267,US
AL FT RUCKER 88D   ,KEOX,EOX,     ,31.28N,085.28W,132,US
AL FT RUCKER/SHELL ,KSXS,SXS,     ,31.22N,085.51W,122,US
AL FT RUCKER/HANCHE,KHEY,HEY,     ,31.21N,085.39W,97,US
AL GADSDEN MUNI    ,KGAD,GAD,     ,33.58N,086.04W,173,US
AL GREENVILLE      ,KPRN,PRN,     ,31.51N,086.37W,138,US
AL GULF SHORES     ,KJKA,JKA,     ,30.17N,087.40W,5,US
AL HALEYVILLE      ,K1M4,1M4,     ,34.17N,087.36W,284,US
AL HUNTSVILLE      ,KHSV,HSV,72323,34.39N,086.47W,191,US
AL HUNTSVILLE/WFO  ,KHUN,   ,     ,34.43N,086.39W,191,US
AL HUNTSVILLE/MADIS,KMDQ,MDQ,     ,34.52N,086.33W,230,US
AL HYTOP/88D       ,KHTX,HTX,     ,34.56N,086.05W,536,US
AL JASPER/WALKER   ,KJFX,JFX,     ,33.54N,087.19W,148,US
AL LOWE AHP/FT. RUC,KLOR,LOR,     ,31.21N,085.45W,74,US
AL MAXWELL AFB 88D ,KMXX,MXX,     ,32.32N,085.47W,122,US
AL MAXWELL AFB/MGM ,KMXF,MXF,     ,32.22N,086.22W,51,US
AL MARION          ,KA08,A08,     ,32.31N,087.23W,68,US
AL MOBILE/BROOKLEY ,KBFM,BFM,     ,30.37N,088.04W,20,US
AL MOBILE/BATES    ,KMOB,MOB,72223,30.41N,088.15W,63,US
AL MONTGOMERY      ,KMGM,MGM,72226,32.18N,086.24W,63,US
AL MUSCLE SHOAL    ,KMSL,MSL,     ,34.45N,087.36W,164,US
AL MONROEVILLE     ,KMVC,MVC,     ,31.27N,087.21W,128,US
AL PELL CITY       ,KPLR,PLR,     ,33.34N,086.15W,148,US
AL PHI OIL PLAT    ,KRAM,RAM,     ,29.03N,088.05W,10,US
AL PRATTVILLE      ,K1A9,1A9,     ,32.26N,086.31W,69,US
AL REDSTONE ARSENAL,KHUA,HUA,74001,34.41N,086.41W,209,US
AL SCOTTSBORO      ,K4A6,4A6,     ,34.41N,086.00W,198,US
AL SELMA           ,KSEM,SEM,     ,32.21N,086.59W,51,US
AL SEMMNES VOR     ,KSJI,SJI,     ,30.44N,088.22W,63,US
AL SYLACAUGA       ,KSCD,SCD,     ,33.10N,086.18W,174,US
AL TALLADEGA       ,KASN,ASN,     ,33.34N,086.03W,162,US
AL TROY            ,KTOI,TOI,     ,31.51N,086.01W,118,US
AL TUSCALOOSA      ,KTCL,TCL,     ,33.13N,087.37W,49,US
AL VULCAN VOR      ,KVUZ,VUZ,     ,33.40N,086.54W,250,US
AL CENTREVILLE WSM ,KCKL,CKL,     ,32.53N,087.15W,140,US
AL DAUPHIN ISLAND  ,K4R9,4R9,99442,30.16N,088.08W,2,US
AL FAIRHOPE        ,K4R4,4R4,     ,30.28N,087.53W,28,US
AL HUNTSVILLE/MADIS,KM82,M82,     ,34.51N,086.33W,231,US
AL VIOSCA KNOLL768 ,KVOA,VOA,     ,29.14N,087.47W,53,US
AR ARKADELPHIA     ,KADF,ADF,     ,34.06N,093.04W,56,US
AR BATESVILLE      ,KBVX,BVX,     ,35.44N,091.39W,141,US
AR BENTONVILLE     ,KH00,H00,     ,36.21N,094.13W,395,US
AR BENTONVILLE     ,KVBT,VBT,     ,36.21N,094.13W,395,US
AR BENTONVILLE (NW),KXNA,XNA,     ,36.17N,094.18W,392,US
AR BLYTHEVILLE     ,KHKA,HKA,     ,35.56N,089.50W,78,US
AR BLYTHEVILLE     ,KBYH,BYH,     ,35.58N,089.57W,78,US
AR CAMDEN          ,KCDH,CDH,     ,33.37N,092.46W,35,US
AR CLINTON MUNI    ,KCCA,CCA,     ,35.36N,092.27W,157,US
AR CONWAY          ,KCXW,CXW,     ,35.01N,092.33W,85,US
AR CORNING         ,K4M9,4M9,     ,36.24N,090.39W,90,US
AR DE QUEEN        ,KDEQ,DEQ,     ,34.03N,094.24W,106,US
AR DEQUEEN PROFILER,KDQU,DQU,74752,34.06N,094.17W,195,US
AR EL DORADO       ,KELD,ELD,     ,33.13N,092.49W,81,US
AR FAYETTEVILLE    ,KFYV,FYV,     ,36.01N,094.10W,379,US
AR FLIPPIN (AWOS)  ,KFLP,FLP,     ,36.17N,092.35W,219,US
AR FORT SMITH      ,KFSM,FSM,72344,35.20N,094.22W,140,US
AR SLATINGTON MTN. ,KSRX,SRX,     ,35.17N,094.22W,195,US
AR HARRISON        ,KHRO,HRO,     ,36.16N,093.09W,417,US
AR HOT SPRINGS     ,KHOT,HOT,     ,34.29N,093.06W,162,US
AR JONESBORO       ,KJBR,JBR,     ,35.50N,090.39W,79,US
AR LITTLE ROCK     ,KLIT,LIT,     ,34.44N,092.14W,79,US
AR LITTLE ROCK AFB ,KLRF,LRF,     ,34.55N,092.09W,95,US
AR MENA INTERMTN   ,KMEZ,MEZ,     ,34.33N,094.12W,329,US
AR W MEMPHIS MUNI  ,KAWM,AWM,     ,35.08N,090.14W,65,US
AR MONTICELLO      ,KLLQ,LLQ,     ,33.38N,091.45W,83,US
AR MOUNT IDA       ,KMWT,MWT,     ,34.33N,093.35W,214,US
AR MOUNTAIN HOME   ,KBPK,BPK,     ,36.22N,092.28W,280,US
AR N. LITTLE ROCK  ,KLZK,LZK,72340,34.50N,092.16W,173,US
AR NEWPORT         ,KM19,M19,     ,35.39N,091.10W,73,US
AR PINE BLUFF/GRIDR,KPBF,PBF,     ,34.11N,091.56W,62,US
AR RAZORBACK VOR   ,KRZC,RZC,     ,36.15N,094.07W,443,US
AR ROGERS          ,KROG,ROG,     ,36.22N,094.05W,415,US
AR RUSSELLVILLE    ,KRUE,RUE,     ,35.15N,093.06W,115,US
AR SEARCY          ,KSRC,SRC,     ,35.13N,091.44W,80,US
AR SILOAM SPRING   ,KSLG,SLG,     ,36.12N,094.28W,300,US
AR SPRINGDALE MUNI ,KASG,ASG,     ,36.10N,094.07W,412,US
AR STUTTGART       ,KSGT,SGT,     ,34.36N,091.34W,68,US
AR TEXARKANA       ,KTXK,TXK,     ,33.27N,093.59W,111,US
AR WALNUT RIDGE    ,KARG,ARG,     ,36.07N,090.55W,83,US
AR ARKADELPHIA     ,KM89,M89,     ,34.06N,093.04W,56,US
AR FORT CHAFFEE    ,    ,   ,69050,35.10N,094.48W,143,US
AR MENA INTERMTN   ,KM39,M39,     ,34.33N,094.12W,329,US
AZ PHOENIX/SKY HRBR,KPHX,PHX,72278,33.26N,112.01W,336,US
AZ TUCSON          ,KTUS,TUS,     ,32.08N,110.57W,776,US
AZ BUCKEYE         ,KBXK,BXK,     ,33.25N,112.41W,315,US
AZ BULLHEAD CITY   ,KIFP,IFP,     ,35.09N,114.34W,212,US
AZ CASA GRANDA     ,KCGZ,CGZ,     ,32.57N,111.46W,446,US
AZ CHANDLER/MESA   ,KIWA,IWA,     ,33.18N,111.39W,412,US
AZ CHANDLER        ,KCHD,CHD,     ,33.16N,111.49W,379,US
AZ COCONINO/FLAGSTF,KFSX,FSX,     ,34.34N,111.12W,2261,US
AZ COLORADO CITY   ,KAZC,AZC,     ,36.58N,113.01W,1486,US
AZ COOLIDGE MUNI   ,KP08,P08,     ,32.56N,111.26W,481,US
AZ DAVIS/TUCSON    ,KDMA,DMA,     ,32.10N,110.52W,824,US
AZ DOUGLAS BISBEE  ,KDUG,DUG,     ,31.28N,109.35W,1265,US
AZ FLAGSTAFF       ,KFLG,FLG,72375,35.08N,111.40W,2134,US
AZ FLAGSTAFF/BELLEM,KFGZ,FGZ,72376,35.14N,111.49W,2192,US
AZ FORT HUACHUCA   ,KFHU,FHU,72273,31.35N,110.21W,1438,US
AZ GILA BEND (AAF) ,KGXF,GXF,74724,32.52N,112.43W,262,US
AZ GLENDALE        ,KGEU,GEU,     ,33.32N,112.18W,325,US
AZ LUKE AFB/GLENDAL,KLUF,LUF,     ,33.31N,112.22W,332,US
AZ GOODYEAR MUNICIP,KGYR,GYR,     ,33.25N,112.22W,295,US
AZ GRAND CANYON    ,KGCN,GCN,72378,35.57N,112.09W,2016,US
AZ GRAND CANYON/VAL,K40G,40G,     ,35.38N,112.09W,1830,US
AZ KINGMAN         ,KIGM,IGM,72370,35.15N,113.56W,1032,US
AZ LAKE HAVASU CITY,KHII,HII,     ,34.34N,114.22W,238,US
AZ MARANA          ,KAVQ,AVQ,     ,32.24N,111.13W,620,US
AZ MARICOPA AK-CHIN,KA39,A39,     ,32.59N,111.55W,398,US
AZ MESA/FALCON FLD ,KFFZ,FFZ,     ,33.28N,111.43W,424,US
AZ NOGALES         ,KOLS,OLS,     ,31.25N,110.51W,1184,US
AZ PAGE            ,KPGA,PGA,72371,36.55N,111.27W,1307,US
AZ PAYSON          ,KPAN,PAN,     ,34.15N,111.20W,1572,US
AZ PEACH SPRING    ,KPGS,PGS,     ,35.37N,113.32W,1450,US
AZ PHOENIX/DEER VLY,KDVT,DVT,     ,33.41N,112.04W,443,US
AZ PHOENIX/WFO     ,KPSR,PSR,74626,33.26N,112.01W,342,US
AZ PIMA COUNTY/88D ,KEMX,EMX,     ,31.54N,110.38W,1586,US
AZ PIONEER AIRFIELD,KALK,ALK,     ,31.36N,110.26W,1453,US
AZ PRESCOTT        ,KPRC,PRC,     ,34.39N,112.25W,1524,US
AZ PRESCOTT(VOR)   ,KDRK,DRK,     ,34.42N,112.29W,1524,US
AZ SAFFORD         ,KSAD,SAD,     ,32.51N,109.38W,962,US
AZ SAN SIMON       ,KSSO,SSO,     ,32.16N,109.15W,1097,US
AZ SCOTTSDALE      ,KSDL,SDL,     ,33.37N,111.55W,447,US
AZ SEDONA          ,KSEZ,SEZ,     ,34.51N,111.47W,1473,US
AZ SHOW LOW MUNICIP,KSOW,SOW,     ,34.16N,110.00W,1954,US
AZ SPRINGERVILLE   ,KJTC,JTC,     ,34.08N,109.19W,2151,US
AZ ST. JOHNS       ,KSJN,SJN,     ,34.31N,109.23W,1745,US
AZ TUBA CITY       ,KTBC,TBC,     ,36.07N,111.16W,1538,US
